Type of Task,Date,Start Time,End Time,Duration (in hours),Year,Month,Month_Name,Day,Day_of_Week,Week_Number,Year_Month,Day_Type,Start_Hour,Start_Minute,Start_Period,Time_Category,End_Hour,Duration_Minutes,Quarter
Data Analyst,2025-06-06,11:32:16 am,12:13:15 pm,0.68,2025,6,June,6,Friday,23,2025-06,Weekday,11,32,AM,Morning,12,40.800000000000004,2
Data Analyst,2025-06-06,12:46:25 pm,12:55:09 pm,0.15,2025,6,June,6,Friday,23,2025-06,Weekday,12,46,PM,Afternoon,12,9.0,2
Data Analyst,2025-06-06,2:14:20 pm,2:37:35 pm,0.39,2025,6,June,6,Friday,23,2025-06,Weekday,14,14,PM,Afternoon,14,23.400000000000002,2
Data Analyst,2025-06-06,3:23:13 pm,5:14:46 pm,1.86,2025,6,June,6,Friday,23,2025-06,Weekday,15,23,PM,Afternoon,17,111.60000000000001,2
Data Analyst,2025-06-06,5:56:08 pm,6:30:10 pm,0.57,2025,6,June,6,Friday,23,2025-06,Weekday,17,56,PM,Evening,18,34.199999999999996,2
Data Analyst,2025-06-06,6:46:52 pm,10:52:15 pm,4.09,2025,6,June,6,Friday,23,2025-06,Weekday,18,46,PM,Evening,22,245.39999999999998,2
Data Analyst,2025-06-07,8:49:22 am,9:02:45 am,0.22,2025,6,June,7,Saturday,23,2025-06,Weekend,8,49,AM,Morning,9,13.2,2
Data Analyst,2025-06-07,10:20:54 am,12:09:53 pm,1.82,2025,6,June,7,Saturday,23,2025-06,Weekend,10,20,AM,Morning,12,109.2,2
Data Analyst,2025-06-07,12:50:05 pm,1:32:01 pm,0.7,2025,6,June,7,Saturday,23,2025-06,Weekend,12,50,PM,Afternoon,13,42.0,2
Data Analyst,2025-06-07,3:14:29 pm,5:21:45 pm,2.12,2025,6,June,7,Saturday,23,2025-06,Weekend,15,14,PM,Afternoon,17,127.2,2
Data Analyst,2025-06-07,8:52:41 pm,11:18:16 pm,2.43,2025,6,June,7,Saturday,23,2025-06,Weekend,20,52,PM,Evening,23,145.8,2
Academics,2025-06-07,11:47:21 pm,11:53:59 pm,0.11,2025,6,June,7,Saturday,23,2025-06,Weekend,23,47,PM,Night,23,6.6,2
Data Analyst,2025-06-08,10:11:22 am,10:26:31 am,0.25,2025,6,June,8,Sunday,23,2025-06,Weekend,10,11,AM,Morning,10,15.0,2
Data Analyst,2025-06-08,12:51:18 pm,2:32:06 pm,1.68,2025,6,June,8,Sunday,23,2025-06,Weekend,12,51,PM,Afternoon,14,100.8,2
Data Analyst,2025-06-08,4:31:51 pm,5:49:50 pm,1.3,2025,6,June,8,Sunday,23,2025-06,Weekend,16,31,PM,Afternoon,17,78.0,2
Data Analyst,2025-06-08,11:45:59 pm,1:05:44 am,1.33,2025,6,June,8,Sunday,23,2025-06,Weekend,23,45,PM,Night,1,79.80000000000001,2
Data Analyst,2025-06-09,8:16:46 am,8:57:49 am,0.68,2025,6,June,9,Monday,24,2025-06,Weekday,8,16,AM,Morning,8,40.800000000000004,2
Data Analyst,2025-06-09,9:45:54 am,11:11:31 am,1.43,2025,6,June,9,Monday,24,2025-06,Weekday,9,45,AM,Morning,11,85.8,2
Data Analyst,2025-06-09,6:40:55 pm,7:17:30 pm,0.61,2025,6,June,9,Monday,24,2025-06,Weekday,18,40,PM,Evening,19,36.6,2
Data Analyst,2025-06-09,8:46:08 pm,9:15:58 pm,0.5,2025,6,June,9,Monday,24,2025-06,Weekday,20,46,PM,Evening,21,30.0,2
Data Analyst,2025-06-09,9:35:36 pm,11:49:33 pm,2.23,2025,6,June,9,Monday,24,2025-06,Weekday,21,35,PM,Night,23,133.8,2
Data Analyst,2025-06-10,8:57:19 am,10:18:30 am,1.35,2025,6,June,10,Tuesday,24,2025-06,Weekday,8,57,AM,Morning,10,81.0,2
Data Analyst,2025-06-10,12:31:00 pm,2:24:18 pm,1.89,2025,6,June,10,Tuesday,24,2025-06,Weekday,12,31,PM,Afternoon,14,113.39999999999999,2
Data Analyst,2025-06-10,5:47:27 pm,5:59:09 pm,0.2,2025,6,June,10,Tuesday,24,2025-06,Weekday,17,47,PM,Evening,17,12.0,2
Data Analyst,2025-06-10,8:51:31 pm,11:00:55 pm,2.16,2025,6,June,10,Tuesday,24,2025-06,Weekday,20,51,PM,Evening,23,129.60000000000002,2
